		sensor 1
		sensor 2
		sensor 1
		sensor 2
      ;100010.14;102075.25
    21;100009.81;102074.33
    44;100010.70;102074.53
    68;100010.02;102073.81
    91;100010.17;102073.47
   114;100010.48;102073.12
   137;100010.14;102072.55
   160;100010.80;102072.28
   183;100010.52;102072.80
   207;100010.22;102071.17
   230;100010.22;102071.81
   253;100010.16;102071.41
   275;100010.41;102070.72
   299;100009.98;102071.09
   322;100010.25;102070.75
   345;100010.19;102069.66
   369;100009.86;102070.19
   392;100009.97;102069.66
   415;100009.97;102068.05
   439;100010.00;102068.77
   461;100009.97;102068.45
   484;100009.95;102068.27
   507;100010.39;102068.33
   531;100010.25;102067.64
   554;100010.22;102067.08
   577;100010.94;102066.84
   601;100010.16;102066.06
   623;100010.19;102066.31
   646;100009.94;102066.48
   670;100010.28;102065.80
   693;100010.23;102065.45
   716;100009.98;102065.33
   740;100010.06;102064.95
   762;100010.78;102064.75
   785;100010.41;102062.59
   809;100010.61;102063.94
   832;100010.52;102063.58
   855;100010.05;102063.14
   878;100010.05;102062.20
   901;100010.36;102063.45
   925;100010.50;102062.73
   947;100010.42;102061.95
   971;100010.53;102062.06
   994;100010.33;102061.25
  1017;100010.61;102061.02
  1040;100009.86;102061.14
  1064;100009.92;102059.94
  1087;100010.70;102061.11
  1109;100010.30;102059.66
  1133;100010.09;102058.92
  1156;100010.09;102059.25
  1179;100010.08;102058.72
  1202;100010.59;102058.53
  1225;100009.97;102057.72
  1249;100010.11;102058.98
  1272;100010.28;102057.25
  1295;100010.25;102057.02
  1318;100010.66;102056.81
  1342;100010.34;102055.80
  1365;100010.17;102056.02
  1387;100010.16;102056.36
  1411;100010.73;102055.45
  1434;100010.55;102055.45
  1457;100009.92;102053.94
  1480;100010.53;102054.20
  1504;100010.44;102054.94
  1527;100010.48;102052.84
  1549;100010.47;102053.02
  1573;100009.83;102053.31
  1596;100010.23;102053.62
  1619;100010.30;102051.75
  1643;100010.36;102053.00
  1666;100010.38;102052.19
  1689;100009.73;102052.31
  1711;100010.38;102051.39
  1735;100010.25;102050.95
  1758;100010.53;102050.23
  1781;100010.23;102050.50
  1805;100010.28;102050.67
  1828;100010.11;102050.12
  1851;100010.22;102049.64
  1874;100010.44;102048.83
  1898;100010.41;102049.03
  1921;100010.44;102049.27
  1943;100010.02;102048.14
  1967;100010.09;102048.17
  1990;100010.58;102046.98
  2013;100010.41;102047.20
  2036;100010.62;102047.05
  2060;100010.53;102047.42
  2083;100010.27;102046.61
  2105;100010.64;102046.12
  2129;100010.38;102045.50
  2152;100010.28;102045.05
  2175;100010.36;102045.67
  2198;100010.53;102044.41
  2222;100010.31;102045.25
  2245;100010.56;102043.22
  2268;100010.06;102043.38
  2292;100010.61;102043.53
  2314;100009.88;102043.86
  2337;100010.28;102043.00
  2360;100010.38;102041.84
  2384;100010.47;102041.70
  2407;100010.81;102041.84
  2430;100010.19;102041.77
  2453;100010.66;102040.27
  2476;100010.41;102040.22
  2499;100010.92;102041.34
