		sensor 1
		sensor 2
		sensor 1
		sensor 2
Connecting to server... 
Connected to server at 192.168.100.10:5000
      ;97694.83;107514.33
     5;97694.36;107514.11
    14;97694.55;107514.70
    22;97694.52;107513.97
    30;97694.83;107514.66
    38;97694.72;107514.66
    47;97694.56;107514.70
    56;97694.42;107514.33
    64;97694.22;107514.56
    72;97694.81;107514.31
    81;97694.52;107514.72
    90;97694.89;107514.23
    99;97694.88;107514.28
   106;97694.20;107514.23
   115;97694.66;107514.56
   123;97694.83;107514.39
   131;97695.02;107514.47
   140;97694.12;107514.62
   148;97694.84;107514.27
   157;97694.48;107514.56
   165;97694.39;107514.55
   174;97694.72;107514.31
   182;97694.16;107514.50
   190;97694.78;107514.33
   199;97694.69;107514.70
   208;97694.20;107514.41
   216;97694.80;107514.30
   225;97694.78;107514.38
   233;97694.89;107514.56
   241;97694.31;107514.38
   249;97694.69;107514.34
   258;97694.58;107514.22
   267;97694.83;107514.30
   275;97694.14;107514.39
   284;97694.44;107514.95
   291;97694.66;107514.28
   300;97694.89;107514.44
   308;97694.03;107514.48
   317;97694.62;107514.42
   325;97694.42;107514.61
   334;97694.72;107514.34
   342;97694.69;107514.45
   351;97694.50;107514.45
   359;97694.52;107514.14
   368;97695.23;107514.89
   376;97694.67;107514.84
   385;97694.20;107514.27
   393;97694.50;107514.27
   401;97694.67;107514.52
   410;97695.06;107514.56
   419;97695.23;107514.61
   427;97694.72;107514.50
   436;97694.56;107514.28
   444;97694.44;107514.17
   453;97694.56;107514.61
   460;97693.84;107514.67
   469;97694.28;107514.55
   477;97694.88;107514.39
   485;97695.03;107514.61
   494;97694.75;107514.64
   503;97694.52;107514.34
   511;97694.98;107514.34
   519;97694.28;107514.25
   528;97694.75;107514.34
   536;97694.92;107514.39
   545;97694.39;107514.58
   553;97694.59;107514.58
   561;97694.45;107514.16
   570;97694.44;107514.53
   578;97694.72;107514.23
   586;97695.20;107514.38
   595;97694.28;107514.36
   603;97694.58;107514.50
   612;97694.72;107514.44
   620;97694.59;107514.31
   628;97694.88;107514.31
   637;97694.36;107514.45
   646;97694.67;107514.97
   654;97694.31;107514.67
   663;97693.89;107514.38
   670;97694.44;107514.22
   680;97694.52;107514.23
   688;97694.59;107514.61
   697;97694.83;107514.06
   704;97694.12;107514.19
   713;97694.42;107514.39
   722;97694.80;107514.36
   730;97694.62;107514.31
   738;97694.52;107514.38
   747;97694.33;107514.56
   755;97694.81;107514.20
   764;97694.28;107514.42
   772;97694.55;107514.39
   781;97694.00;107514.64
   789;97694.86;107514.22
   797;97694.12;107514.39
   805;97694.66;107514.22
   814;97694.48;107514.52
   823;97694.16;107514.69
   831;97694.73;107514.69
   840;97694.55;107514.53
   847;97694.42;107514.72
   856;97694.42;107514.44
   865;97694.77;107514.78
   873;97694.52;107514.16
   881;97694.66;107514.62
   890;97694.59;107514.00
   898;97694.45;107514.41
   907;97694.25;107514.33
   915;97694.72;107513.94
   924;97694.56;107514.28
   933;97694.70;107514.56
   940;97694.36;107514.53
   949;97694.16;107514.52
   957;97694.19;107514.39
   966;97694.23;107514.53
   975;97694.53;107514.56
   983;97694.52;107514.23
   991;97694.59;107514.48
   999;97694.81;107514.14
  1008;97694.55;107514.36
  1017;97694.78;107514.41
  1025;97694.19;107514.42
  1034;97694.17;107514.55
  1041;97694.98;107514.50
  1051;97694.45;107514.20
  1059;97694.80;107515.02
  1068;97694.09;107514.67
  1076;97694.33;107514.28
  1084;97694.34;107514.72
  1092;97694.58;107514.34
  1100;97694.77;107514.66
  1109;97694.05;107514.25
  1118;97694.00;107514.23
  1126;97694.25;107514.34
  1134;97694.20;107514.28
  1143;97694.27;107514.50
  1151;97694.27;107514.38
  1160;97694.22;107513.98
  1168;97694.62;107514.50
  1177;97694.47;107514.33
  1185;97694.39;107514.70
  1194;97693.97;107514.56
  1202;97694.56;107514.62
  1211;97694.59;107514.30
  1219;97694.33;107514.22
  1227;97694.33;107514.53
  1236;97694.28;107514.39
  1244;97694.00;107514.33
  1252;97694.47;107514.45
  1261;97694.50;107514.27
  1269;97694.19;107514.27
  1277;97694.14;107514.45
  1286;97694.44;107514.23
  1296;97694.25;107514.39
  1304;97694.06;107514.11
  1311;97694.44;107514.53
  1321;97694.50;107514.52
  1328;97694.22;107514.30
  1338;97694.47;107513.94
  1345;97693.91;107514.33
  1353;97694.62;107513.88
  1362;97694.16;107514.59
  1370;97694.30;107514.55
  1379;97694.20;107514.05
  1387;97694.31;107514.20
  1396;97694.50;107514.45
  1404;97694.44;107514.59
  1412;97694.31;107514.03
  1421;97694.61;107514.17
  1430;97694.47;107514.48
  1437;97694.45;107514.00
  1446;97693.89;107514.64
