czas,czujnik1,czujnik2
     8,99513.69,102724.66
    17,99513.41,102724.48
    25,99513.31,102724.64
    33,99512.53,102724.48
    42,99512.78,102724.98
    50,99512.58,102724.48
    58,99511.94,102724.34
    66,99512.81,102724.28
    75,99512.09,102724.70
    84,99512.28,102723.98
    92,99512.39,102724.33
   100,99511.38,102723.80
   109,99511.78,102723.77
   117,99511.70,102724.00
   126,99511.34,102724.02
   134,99511.30,102724.06
   142,99511.83,102724.00
   151,99512.19,102724.09
   159,99511.47,102724.20
   168,99511.52,102724.53
   176,99512.19,102724.30
   185,99512.25,102724.56
   193,99512.47,102725.31
   201,99512.66,102724.84
   210,99513.45,102725.02
   218,99514.30,102725.41
   226,99514.75,102725.34
   234,99513.77,102725.80
   243,99515.19,102725.97
   251,99514.02,102725.69
   260,99513.92,102725.89
   268,99514.08,102726.14
   276,99515.06,102726.25
   286,99514.84,102726.02
   293,99514.69,102725.81
   301,99514.23,102726.20
   310,99514.45,102726.12
   318,99515.20,102725.72
   327,99514.14,102725.89
   335,99514.16,102725.86
   344,99515.14,102726.03
   352,99514.05,102726.03
   361,99513.84,102725.89
   369,99514.00,102725.73
   378,99513.62,102725.58
   386,99513.80,102725.56
   394,99513.56,102725.48
   403,99513.39,102725.67
   411,99512.80,102726.00
   419,99513.55,102725.38
   428,99512.78,102724.94
   436,99512.91,102724.78
   445,99513.02,102724.62
   452,99512.22,102724.67
   461,99512.34,102724.70
   470,99512.73,102725.06
   478,99512.33,102725.25
   487,99512.83,102725.28
   495,99512.41,102725.25
   504,99513.00,102725.81
   511,99513.45,102725.81
   521,99512.81,102725.69
   528,99514.19,102726.22
   537,99513.81,102726.16
   545,99514.02,102726.19
   554,99514.73,102726.14
   562,99515.09,102726.89
   571,99515.16,102726.80
   579,99514.88,102726.34
   588,99515.38,102726.69
   596,99515.25,102727.05
   605,99515.20,102726.72
   613,99515.17,102727.33
   621,99515.34,102726.91
   629,99515.11,102726.62
   637,99515.41,102727.23
   646,99515.19,102727.59
   654,99514.91,102726.69
   663,99514.78,102726.86
   671,99514.86,102726.50
   680,99514.80,102726.77
   688,99514.30,102726.39
   696,99514.86,102726.45
   705,99514.14,102726.67
   713,99514.77,102726.47
   722,99514.25,102726.38
   730,99514.09,102726.31
   739,99513.88,102726.45
   747,99513.81,102726.19
   755,99513.42,102726.30
   764,99513.31,102725.91
   772,99513.53,102726.05
   781,99513.08,102726.30
   789,99513.34,102725.62
   797,99513.47,102726.11
   806,99513.61,102726.28
   814,99513.17,102726.52
   823,99513.50,102726.17
   831,99513.50,102726.69
   840,99513.22,102726.00
   848,99513.48,102726.67
   856,99513.39,102726.98
   864,99513.62,102727.02
   873,99514.31,102726.91
   881,99514.42,102727.11
   889,99515.39,102726.92
   898,99515.27,102727.22
   906,99515.91,102727.98
   915,99515.83,102727.92
   923,99516.06,102727.61
   931,99515.95,102728.16
   940,99515.27,102727.84
   949,99516.00,102727.92
   957,99516.52,102728.36
   966,99516.08,102727.92
   973,99516.67,102727.67
   982,99515.83,102728.03
   991,99516.08,102727.98
   999,99516.08,102728.22
  1007,99516.02,102728.50
  1015,99515.64,102728.09
  1024,99515.97,102728.33
  1032,99516.19,102727.50
  1041,99515.53,102727.91
  1049,99515.36,102727.70
  1058,99515.44,102727.73
  1066,99515.16,102727.55
  1074,99514.94,102727.61
  1084,99514.94,102727.67
  1091,99514.78,102727.27
  1100,99513.80,102727.00
  1109,99514.75,102726.78
  1117,99514.27,102726.75
  1125,99514.23,102726.70
  1134,99514.16,102726.86
  1142,99513.81,102727.06
  1151,99514.03,102727.48
  1159,99513.73,102727.06
  1168,99514.03,102727.16
  1175,99514.11,102726.98
  1185,99514.44,102727.09
  1192,99515.59,102727.19
  1201,99515.23,102727.89
  1210,99515.89,102727.84
  1219,99515.80,102728.27
  1227,99515.83,102728.34
  1235,99516.47,102728.39
  1244,99516.78,102728.62
  1251,99517.03,102728.91
  1260,99517.11,102729.25
  1268,99517.20,102729.09
  1277,99517.53,102729.14
  1285,99517.58,102728.69
  1294,99517.66,102729.48
  1302,99517.77,102729.42
  1311,99517.64,102729.11
  1319,99517.58,102729.31
